Comment,Designator,Footprint,LCSC,Quantity
0805B391K101NT,C9,C0805,C76468,1
1.8k,"R10,R12,R14,R29",R_0603_1608Metric,C4177,4
100k,"R1,R4,R5,R8,R9",R_0603_1608Metric,C25803,5
100nF,"C10,C3,C4,C5,C6,C7",C_0402_1005Metric,C1525,6
100Ω,R31,R_0402_1005Metric,C17437,1
100Ω,"R21,R22,R23",R_0603_1608Metric,C22775,3
10mΩ,R17,R_2512_6332Metric,C5121042,1
1M,R16,R_0603_1608Metric,C22935,1
1kΩ,"R18,R2,R3,R32,R33,R6,R7",R_0603_1608Metric,C21190,7
1nF,C1,C_0402_1005Metric,C1523,1
1uF,"C11,C2",C_0402_1005Metric,C52923,2
2N7002,"Q1,Q2,Q3,Q4",SOT-23,C8545,4
3.3k,"R11,R13,R15,R30",R_0603_1608Metric,C22978,4
33Ω,"R19,R20,R24,R25,R26,R27,R28",R_0603_1608Metric,C23140,7
EEHZK1V181P,C8,CAP-SMD_BD8.0-L8.3-W8.3-FD,C242139,1
EFVH100ADA101M10C0,U4,CAP-SMD_BD10.0-L10.3-W10.3-FD,C22387799,1
INA180A1,U2,SOT-23-5,C48533472,1
LM2596HVT-5.0,U3,TO-220-5L_L10.2-W4.5-P1.71-L,C2902496,1
MX205V-5.0-03P-GN01-CU-A,"CN1,CN4",CONN-TH_3P-P5.00_MX205V-5.0-03P-GN01-CU-A,C7471323,2
MX250-3.5-03P-B-GY01-CU-A,U6,CONN-TH_3P-P3.50_MX250-3.5-03P-B-GY01-CU-A,C7470117,1
MX250-3.5-06P-B-GY01-CU-A,CN3,CONN-TH_6P-P3.50_MX250-3.5-06P-B-GY01-CU-A,C7470120,1
MX250-3.5-08P-B-GY01-CU-A,CN2,CONN-TH_8P-P3.50-LS5.10_MX250-3.5-08P-B-GY01-CU-A,C7470122,1
SLO1040H680MTT,L1,IND-SMD_L10.8-W10.0,C207853,1
SMF05CT1G,"D1,D2,D3",SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,C15879,3
SP3485EN-L/TR,U5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C8963,1
SS510,D4,SMC_L7.1-W6.2-LS8.1-R-RD,C19229,1
~,U1,ESP32-DEVKIT-V1_30pin,,1
Conn_01x02_Pin,J4,PinHeader_1x02_P2.54mm_Vertical,,1
