Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_0402_1005Metric,116.0526,-105.5756,-90.0,top
C10,100nF,C_0402_1005Metric,93.3958,-147.9016,-90.0,top
C11,1uF,C_0402_1005Metric,69.5,-138.5,180.0,top
C2,1uF,C_0402_1005Metric,110.4859,-119.3874,-90.0,top
C3,100nF,C_0402_1005Metric,75.2374,-78.2066,0.0,top
C4,100nF,C_0402_1005Metric,106.5784,-73.3298,-90.0,top
C5,100nF,C_0402_1005Metric,106.553,-76.1974,90.0,top
C6,100nF,C_0402_1005Metric,110.1344,-77.4192,-90.0,top
C7,100nF,C_0402_1005Metric,110.3122,-80.7212,90.0,top
C8,EEHZK1V181P,CAP-SMD_BD8.0-L8.3-W8.3-FD,99.0346,-146.5006,90.0,top
C9,0805B391K101NT,C0805,119.2944,-136.5758,0.0,top
CN1,MX205V-5.0-03P-GN01-CU-A,CONN-TH_3P-P5.00_MX205V-5.0-03P-GN01-CU-A,124.877,-106.9556,90.0,top
CN2,MX250-3.5-08P-B-GY01-CU-A,CONN-TH_8P-P3.50-LS5.10_MX250-3.5-08P-B-GY01-CU-A,52.6442,-113.749,-90.0,top
CN3,MX250-3.5-06P-B-GY01-CU-A,CONN-TH_6P-P3.50_MX250-3.5-06P-B-GY01-CU-A,52.6442,-87.221,-90.0,top
CN4,MX205V-5.0-03P-GN01-CU-A,CONN-TH_3P-P5.00_MX205V-5.0-03P-GN01-CU-A,125.0548,-125.396,90.0,top
D1,SMF05CT1G,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,65.2018,-78.7936,0.0,top
D2,SMF05CT1G,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,63.0,-130.5,-90.0,top
D3,SMF05CT1G,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,60.5,-130.5,-90.0,top
D4,SS510,SMC_L7.1-W6.2-LS8.1-R-RD,99.6442,-136.779,180.0,top
L1,SLO1040H680MTT,IND-SMD_L10.8-W10.0,109.0168,-145.4664,-90.0,top
Q1,2N7002,SOT-23,69.0626,-104.5972,180.0,top
Q2,2N7002,SOT-23,69.0626,-111.506,180.0,top
Q3,2N7002,SOT-23,69.0626,-118.5848,180.0,top
Q4,2N7002,SOT-23,70.876233,-125.307485,0.0,top
R1,100k,R_0603_1608Metric,72.0748,-104.5972,90.0,top
R10,1.8k,R_0603_1608Metric,68.8462,-83.3882,0.0,top
R11,3.3k,R_0603_1608Metric,68.8462,-81.8134,180.0,top
R12,1.8k,R_0603_1608Metric,68.8462,-86.9188,0.0,top
R13,3.3k,R_0603_1608Metric,68.8462,-85.4456,180.0,top
R14,1.8k,R_0603_1608Metric,68.8462,-90.4748,0.0,top
R15,3.3k,R_0603_1608Metric,68.8462,-88.9762,180.0,top
R16,1M,R_0603_1608Metric,114.554,-105.4592,-90.0,top
R17,10mΩ,R_2512_6332Metric,115.2357,-122.4862,90.0,top
R18,1kΩ,R_0603_1608Metric,109.0635,-122.4862,90.0,top
R19,33Ω,R_0603_1608Metric,65.6214,-90.4748,180.0,top
R2,1kΩ,R_0603_1608Metric,64.7324,-101.1428,0.0,top
R20,33Ω,R_0603_1608Metric,64.7324,-104.5972,180.0,top
R21,100Ω,R_0603_1608Metric,73.6346,-118.5848,-90.0,top
R22,100Ω,R_0603_1608Metric,73.6346,-111.506,-90.0,top
R23,100Ω,R_0603_1608Metric,73.6346,-104.5972,-90.0,top
R24,33Ω,R_0603_1608Metric,64.7324,-111.506,180.0,top
R25,33Ω,R_0603_1608Metric,64.7324,-118.5848,180.0,top
R26,33Ω,R_0603_1608Metric,64.7324,-125.3236,180.0,top
R27,33Ω,R_0603_1608Metric,65.6204,-86.9696,180.0,top
R28,33Ω,R_0603_1608Metric,65.6468,-83.3628,180.0,top
R29,1.8k,R_0603_1608Metric,107.6706,-95.5548,180.0,top
R3,1kΩ,R_0603_1608Metric,64.7324,-108.0516,0.0,top
R30,3.3k,R_0603_1608Metric,107.6838,-93.8276,0.0,top
R31,100Ω,R_0402_1005Metric,64.5,-135.01,90.0,top
R32,1kΩ,R_0603_1608Metric,66.0,-133.5,-90.0,top
R33,1kΩ,R_0603_1608Metric,66.0,-136.5,-90.0,top
R4,100k,R_0603_1608Metric,72.0748,-111.506,90.0,top
R5,100k,R_0603_1608Metric,72.0748,-118.5848,90.0,top
R6,1kΩ,R_0603_1608Metric,64.7324,-114.9604,0.0,top
R7,1kΩ,R_0603_1608Metric,64.7324,-121.8692,0.0,top
R8,100k,R_0603_1608Metric,74.7522,-125.2982,180.0,top
R9,100k,R_0603_1608Metric,68.1251,-125.3236,-90.0,top
U1,~,ESP32-DEVKIT-V1_30pin,90.8812,-90.805,0.0,top
U2,INA180A1,SOT-23-5,111.4977,-122.4862,90.0,top
U3,LM2596HVT-5.0,TO-220-5L_L10.2-W4.5-P1.71-L,117.9576,-144.2302,-90.0,top
U4,EFVH100ADA101M10C0,CAP-SMD_BD10.0-L10.3-W10.3-FD,110.998,-132.9436,180.0,top
U5,SP3485EN-L/TR,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,71.0,-135.0,90.0,top
U6,MX250-3.5-03P-B-GY01-CU-A,CONN-TH_3P-P3.50_MX250-3.5-03P-B-GY01-CU-A,52.5,-135.5,-90.0,top
