Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,1nF,C1523
"C10, C3, C4, C5, C6, C7",0402,6,100nF,C1525
"C11, C2",0402,2,1uF,C52923
C12,0402,1,100nF,
"C13, C14",0603,2,C,
C15,0603,1,GRM32ER61C476KE15L,
C8,CAP-SMD_BD8.0-L8.3-W8.3-FD,1,EEHZK1V181P,C242139
C9,C0805,1,0805B391K101NT,C76468
"CN1, CN4",CONN-TH_3P-P5.00_MX205V-5.0-03P-GN01-CU-A,2,MX205V-5.0-03P-GN01-CU-A,C7471323
CN2,CONN-TH_8P-P3.50-LS5.10_MX250-3.5-08P-B-GY01-CU-A,1,MX250-3.5-08P-B-GY01-CU-A,C7470122
CN3,CONN-TH_6P-P3.50_MX250-3.5-06P-B-GY01-CU-A,1,MX250-3.5-06P-B-GY01-CU-A,C7470120
"D1, D2, D3",SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,3,SMF05CT1G,C15879
D4,SMC_L7.1-W6.2-LS8.1-R-RD,1,SS510,C19229
"J4, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
L1,IND-SMD_L10.8-W10.0,1,SLO1040H680MTT,C207853
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002,C8545
"R1, R4, R5, R8, R9",0603,5,100k,C25803
"R10, R12, R14, R29",0603,4,1.8k,C4177
"R11, R13, R15, R30",0603,4,3.3k,C22978
R16,0603,1,1M,C22935
R17,2512,1,10mΩ,C5121042
"R18, R2, R3, R32, R33, R6, R7",0603,7,1kΩ,C21190
"R19, R20, R24, R25, R26, R27, R28",0603,7,33Ω,C23140
"R21, R22, R23",0603,3,100Ω,C22775
R31,0402,1,100Ω,C17437
U1,ESP32-DEVKIT-V1_30pin,1,~,
U2,SOT-23-5,1,INA180A1,C48533472
U3,TO-220-5L_L10.2-W4.5-P1.71-L,1,LM2596HVT-5.0,C2902496
U4,CAP-SMD_BD10.0-L10.3-W10.3-FD,1,EFVH100ADA101M10C0,C22387799
U5,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,SP3485EN-L/TR,C8963
U6,CONN-TH_3P-P3.50_MX250-3.5-03P-B-GY01-CU-A,1,MX250-3.5-03P-B-GY01-CU-A,C7470117
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51420XDDCR,C5246146
