Designator,Mid X,Mid Y,Rotation,Layer
C1,116.0526,-105.5756,270.0,top
C10,109.0,-139.0,270.0,top
C11,69.5,-138.5,180.0,top
C12,67.015,-146.519,0.0,top
C13,63.575,-142.419,0.0,top
C14,63.575,-144.929,0.0,top
C15,63.575,-147.439,0.0,top
C2,110.4859,-119.3874,270.0,top
C3,75.2374,-78.2066,0.0,top
C4,106.5784,-73.3298,270.0,top
C5,106.553,-76.1974,90.0,top
C6,110.1344,-77.4192,270.0,top
C7,110.3122,-80.7212,90.0,top
C8,106.73,-129.5,0.0,top
C9,110.0,-144.0,90.0,top
CN1,124.877,-106.9556,90.0,top
CN2,52.6442,-113.749,270.0,top
CN3,52.6442,-87.221,270.0,top
CN4,125.0548,-125.396,90.0,top
D1,65.2018,-78.7936,180.0,top
D2,63.0,-130.5,90.0,top
D3,60.5,-130.5,90.0,top
D4,95.5,-145.5,180.0,top
H1,132.461,-72.4154,0.0,top
H2,132.334,-146.5072,0.0,top
H3,48.133,-146.8882,0.0,top
H4,47.3456,-71.12,0.0,top
J1,116.7384,-78.0928,90.0,top
J2,126.9834,-89.9414,90.0,top
J3,116.8908,-90.8794,90.0,top
J4,80.995,-145.0,90.0,top
J5,130.23,-139.5,270.0,top
JP1,112.4204,-105.573,270.0,top
JP2,133.5,-135.15,270.0,top
L1,95.5,-134.5,90.0,top
NT1,115.2611,-117.3234,270.0,top
Q1,69.0626,-104.5972,0.0,top
Q2,69.0626,-111.506,0.0,top
Q3,69.0626,-118.5848,0.0,top
Q4,70.876233,-125.307485,180.0,top
R1,72.0748,-104.5972,90.0,top
R10,68.8462,-83.3882,0.0,top
R11,68.8462,-81.8134,180.0,top
R12,68.8462,-86.9188,0.0,top
R13,68.8462,-85.4456,180.0,top
R14,68.8462,-90.4748,0.0,top
R15,68.8462,-88.9762,180.0,top
R16,114.554,-105.4592,270.0,top
R17,115.2357,-122.4862,90.0,top
R18,109.0635,-122.4862,90.0,top
R19,65.6214,-90.4748,180.0,top
R2,64.7324,-101.1428,0.0,top
R20,64.7324,-104.5972,180.0,top
R21,73.6346,-118.5848,270.0,top
R22,73.6346,-111.506,270.0,top
R23,73.6346,-104.5972,270.0,top
R24,64.7324,-111.506,180.0,top
R25,64.7324,-118.5848,180.0,top
R26,64.7324,-125.3236,180.0,top
R27,65.6204,-86.9696,180.0,top
R28,65.6468,-83.3628,180.0,top
R29,107.6706,-95.5548,180.0,top
R3,64.7324,-108.0516,0.0,top
R30,107.6838,-93.8276,0.0,top
R31,64.5,-135.01,90.0,top
R32,66.0,-133.5,270.0,top
R33,66.0,-136.5,270.0,top
R4,72.0748,-111.506,90.0,top
R5,72.0748,-118.5848,90.0,top
R6,64.7324,-114.9604,0.0,top
R7,64.7324,-121.8692,0.0,top
R8,74.7522,-125.2982,180.0,top
R9,68.1251,-125.3236,270.0,top
U1,90.8812,-90.805,0.0,top
U2,111.4977,-122.4862,270.0,top
U3,106.0,-141.58,90.0,top
U4,121.0,-141.0,90.0,top
U5,71.0,-135.0,0.0,top
U6,52.5,-135.5,270.0,top
U7,68.05,-143.35,180.0,top
